"id","created_time","type","availability","quality_percent","made","defected","proiz_vobez_raboti","planned","all_stopped_time","all_working_time","stop_not_planned","stop_planned","all_time"
202,"2020-09-06","SAW1","18.03","100",5263,0,0,9662,"1180.38",259,1180,0,1440
203,"2020-09-06","SAW2","16.24","90.38",1612,155,0,522,"1206.1",233,1206,0,1440
204,"2020-09-06","SAW3","100","94.98",1912,96,0,323313,"0",1440,0,0,1440
205,"2020-09-07","SAW1","4.04","98.02",1160,23,0,2096,"1381.78",58,1381,0,1440
206,"2020-09-07","SAW2","7.96","94.76",2633,138,0,29542,"1325.33",114,1325,0,1440
207,"2020-09-07","SAW3","100","0",0,12,0,86400,"0",1440,0,0,1440
208,"2020-09-08","SAW1","14.47","99.42",35621,208,0,6508,"1231.58",208,1231,0,1440
209,"2020-09-08","SAW2","9.41","98.62",3188,44,0,14641,"1304.43",135,1304,0,1440
210,"2020-09-08","SAW3","99.98","92.62",1505,111,0,19746,"0.28",1439,0,0,1440
211,"2020-09-09","SAW1","18.09","99.86",8663,12,0,6130,"1179.47",260,1179,0,1440
212,"2020-09-09","SAW2","17.15","98.73",9721,123,0,6128,"1193.25",246,1192,1,1440
213,"2020-09-09","SAW3","0.22","0",0,0,0,19200,"1436.8",3,1436,0,1440
214,"2020-09-10","SAW1","36.35","97.5",5960,149,0,12315,"916.62",523,916,0,1440
215,"2020-09-10","SAW2","19.52","97.45",5451,139,0,6746,"1158.93",281,1158,0,1440
216,"2020-09-10","SAW3","0.41","95.28",530,25,0,100,"1434.13",5,1434,0,1440
217,"2020-09-11","SAW1","33.08","99.03",6598,64,0,11210,"963.58",476,963,0,1440
218,"2020-09-11","SAW2","61.05","92.63",3295,243,0,1966,"560.85",879,560,0,1440
219,"2020-09-11","SAW3","0.75","95.56",1420,63,0,129,"1429.13",10,1429,0,1440
220,"2020-09-12","SAW1","44.89","98.97",8280,85,0,15209,"793.6",646,793,0,1440
221,"2020-09-12","SAW2","24.62","98.34",4825,80,143,8862,"1085.53",354,1085,0,1440
222,"2020-09-12","SAW3","0.87","98.92",2493,27,0,250,"1427.5",12,1427,0,1440
223,"2020-09-13","SAW1","28.29","99.67",7470,25,8,16285,"1032.88",407,1031,1,1440
224,"2020-09-13","SAW2","30.41","97.08",9254,270,7,4342,"1002.15",437,1002,0,1440
225,"2020-09-13","SAW3","1.02","97.88",1368,29,0,332,"1425.32",14,1425,0,1440
226,"2020-09-14","SAW1","30.45","99.45",8886,49,0,17542,"1001.45",438,1001,0,1440
227,"2020-09-14","SAW2","51.23","95.46",4077,185,0,3520,"717.92",722,687,30,1440
228,"2020-09-14","SAW3","0.79","98.18",2368,43,0,256,"1428.67",11,1428,0,1440
229,"2020-09-15","SAW1","25.29","98.47",7500,115,0,14565,"1075.87",364,1075,0,1440
230,"2020-09-15","SAW2","56.94","96.83",7820,248,0,8199,"620.1",819,620,0,1440
231,"2020-09-15","SAW3","0.02","98.14",2960,55,0,1057,"1439.67",0,1439,0,1440
232,"2020-09-16","SAW1","45","100",7940,0,0,15391,"792",648,792,0,1440
233,"2020-09-16","SAW2","37.06","93.48",322,21,0,5337,"906.35",533,906,0,1440
234,"2020-09-16","SAW3","0.62","95.19",1933,93,0,202,"1431.13",8,1431,0,1440
235,"2020-09-17","SAW1","40.49","95.54",7484,334,1,7863,"861.88",578,849,12,1440
236,"2020-09-17","SAW2","53.12","98.54",8549,125,9,7380,"675.1",764,675,0,1440
237,"2020-09-17","SAW3","0.77","96.98",1260,38,0,184,"1428.95",11,1428,0,1440
238,"2020-09-18","SAW1","28.76","95.32",6520,305,1,9719,"1026.95",413,1023,3,1440
239,"2020-09-18","SAW2","32.25","96.92",8550,263,95,9404,"975.6",464,975,0,1440
240,"2020-09-18","SAW3","0.63","99.17",3851,32,0,192,"1430.93",9,1430,0,1440
241,"2020-09-19","SAW1","55.83","99.01",9454,94,14,4245,"636.62",803,635,0,1440
242,"2020-09-19","SAW2","63.05","97.57",14350,348,21,98048,"532.15",907,532,0,1440
243,"2020-09-19","SAW3","0.3","98.64",4553,62,0,417,"1435.75",4,1435,0,1440
244,"2020-09-20","SAW1","7.3","100",814,0,67,505,"1334.85",105,1334,0,1440
245,"2020-09-20","SAW2","37.68","96.62",8280,280,234,51876,"959.67",480,794,165,1440
246,"2020-09-20","SAW3","0.77","99",1396,14,0,184,"1428.95",11,1428,0,1440
247,"2020-09-21","SAW1","16.72","81.9",1398,253,0,1364,"1199.25",240,1199,0,1440
248,"2020-09-21","SAW2","45.69","92.3",6028,464,8,71060,"782.03",657,782,0,1440
249,"2020-09-21","SAW3","0.35","100",3750,0,0,59,"1434.95",5,1434,0,1440
250,"2020-09-22","SAW1","35.11","97.52",3948,98,1,152151,"934.37",505,934,0,1440
251,"2020-09-22","SAW2","40.73","98",8791,176,1,18393,"856.55",588,856,0,1445
252,"2020-09-22","SAW3","0.42","100",1461,0,0,99,"1434",6,1434,0,1440
253,"2020-09-23","SAW1","14.27","99.54",4806,22,93,15570,"1234.5",205,1234,0,1440
254,"2020-09-23","SAW2","19.9","95.59",10512,464,1,2905,"1153.48",286,1153,0,1440
255,"2020-09-23","SAW3","0.38","99.01",3043,30,0,201,"1434.5",5,1434,0,1440
256,"2020-09-24","SAW1","27.18","95.05",4646,230,9,2867,"1051.3",388,1041,10,1440
257,"2020-09-24","SAW2","45.39","96.92",8508,262,0,4222,"799.12",640,771,27,1440
258,"2020-09-24","SAW3","0.57","98.94",3392,36,0,251,"1431.77",8,1431,0,1440
259,"2020-09-25","SAW1","27.61","100",3980,0,0,3562,"1042.45",397,1042,0,1440
260,"2020-09-25","SAW2","20.45","100",2421,0,0,1876,"1157.38",282,1099,57,1440
261,"2020-09-25","SAW3","0.2","98.13",2996,56,0,193,"1437.05",2,1437,0,1440
262,"2020-09-26","SAW1","47.28","100",3098,0,1,1280,"759.18",680,759,0,1440
263,"2020-09-26","SAW2","13.94","81.88",1104,200,1,1195,"1333.47",106,657,675,1440
264,"2020-09-26","SAW3","0.19","98.94",3194,34,0,7547,"1437.27",2,1437,0,1440
265,"2020-09-27","SAW1","34.42","93.13",7040,484,0,6449,"944.32",495,944,0,1440
266,"2020-09-27","SAW2","34.76","98.89",9159,102,1,23024,"1001.45",438,823,178,1440
267,"2020-09-27","SAW3","0.02","98.76",1207,15,0,2100,"1439.65",0,1439,0,1440
268,"2020-09-28","SAW1","51.21","99.1",9700,87,0,3540,"702.52",737,702,0,1440
269,"2020-09-28","SAW2","38.52","96.87",8880,278,0,14531,"886.93",553,882,4,1440
270,"2020-09-28","SAW3","0.41","100",1848,0,0,128,"1434.1",5,1434,0,1440
271,"2020-09-29","SAW1","57.86","97.48",6550,165,1,3877,"632.37",807,588,44,1440
272,"2020-09-29","SAW2","30.47","97.76",15683,352,0,13733,"1001.25",438,1001,0,1440
273,"2020-09-29","SAW3","0.82","99.7",2707,8,0,162,"1428.18",11,1428,0,1440
274,"2020-09-30","SAW1","46.35","97.27",4536,124,0,3893,"772.55",667,772,0,1440
275,"2020-09-30","SAW2","21.64","92.67",3440,252,3,1075,"1245.53",194,704,541,1440
276,"2020-09-30","SAW3","0.95","94.96",2102,106,0,129,"1426.38",13,1426,0,1440
277,"2020-10-01","SAW1","1.36","100",216,0,2,80282,"1430.03",9,722,707,1440
278,"2020-10-01","SAW2","26.98","92.79",4810,347,0,1547,"1197.8",242,655,542,1440
279,"2020-10-01","SAW3","1.09","96.38",912,33,0,82,"1431.42",8,776,655,1440
280,"2020-10-02","SAW1","34.31","99.22",7548,59,0,74240,"948.22",491,941,6,1440
281,"2020-10-02","SAW2","72.21","97.1",11538,335,23,109102,"429.8",1010,388,41,1440
282,"2020-10-02","SAW3","0.63","97.18",3082,87,0,303,"1430.98",9,1430,0,1440
283,"2020-10-03","SAW1","60.39","98.69",10374,136,1,4184,"570.43",869,570,0,1440
284,"2020-10-03","SAW2","59.56","98.7",10044,131,19,4288,"582.37",857,582,0,1440
285,"2020-10-03","SAW3","22.45","99.88",2572,3,0,3117,"1116.67",323,1116,0,1440
